Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
216474000,6000.0,263993.0,Santiago,DavilaLarrain,7,2,111.0,172.0,0,16627385,
162355500,4500.0,197995.0,Quilicura,Sevendecasa,3,3,70.0,128.0,0,14514386,
209258200,5800.0,255193.0,Quilicura,Sevendecasaenavenida,3,2,114.0,153.0,0,14514382,
130000000,3603.0,158537.0,Maipú,Argentina,3,2,100.0,171.0,1,18957740,Gesinprop Gestión Inmobiliaria
338421020,9380.0,412709.0,Pudahuel,losrododendrosponiente,4,3,160.0,400.0,2,10370614,Tzanis Propiedades
180000000,4989.0,219512.0,Independencia,CarlosToribioRobinet,5,2,125.0,250.0,0,18929757,Essan
106000000,2938.0,129268.0,PadreHurtado,PadreMartinGusinde,3,2,60.0,157.0,2,18927869,Essan
142000000,3936.0,173171.0,ElBosque,CapitánAvalos,4,3,242.0,349.0,1,15859376,
136000000,3770.0,165854.0,SanBernardo,CondominioBarriónuevodenos,3,3,92.0,148.0,1,9060758,G A M P. Propiedades
145000000,4019.0,176829.0,SanBernardo,Av.Sta.Marta675,2,1,82.0,317.0,2,18708254,Balance
113700000,3151.0,138659.0,LaFlorida,Verdi,4,2,68.0,100.0,1,18561041,Recio Gestión Inmobiliaria Ltda
480000000,13304.0,585366.0,LaFlorida,Altomacul,5,6,240.0,600.0,2,6474890,Inmobiliaria Barrio Nuevo SpA
537577100,14900.0,655582.0,LaFlorida,Cam.delPaisaje6800,5,6,240.0,600.0,7,7946348,Inmobiliaria Barrio Nuevo SpA
120864650,3350.0,147396.0,Maipú,pasajepuertovelero,3,2,62.0,159.0,1,18635523,Rosario
505106000,14000.0,615983.0,Conchalí,Lanín1758,6,3,275.0,600.0,6,14141977,Hernán Arriagada
135000000,3742.0,164634.0,Peñalolén,Yelcho1516,4,2,138.0,250.0,1,15839996,
260490380,7220.0,317671.0,QuintaNormal,TadeoVargas,4,3,198.0,354.0,1,11588945,C & C Consultores Jurídico & Corredores Asociados
432948000,12000.0,527985.0,LaReina,ValenzuelaPuelma,4,3,250.0,215.0,1,18617220,Puntoinmobiliario.cl
129162820,3580.0,157516.0,Maipú,ChañaralSur1656,4,3,83.0,115.0,1,16649121,
130000000,3603.0,158537.0,EstaciónCentral,MigueldeCervantes,3,1,77.0,171.0,2,9023136,Sp Rios Propiedades
288632000,8000.0,351990.0,Buin,LuisEugenioRiquelmePino,3,3,118.0,366.0,2,16318207,V&o Propiedades
396869000,11000.0,483987.0,Peñalolén,QuilínNorte,4,4,168.0,283.0,2,16319193,V&o Propiedades
80000000,2217.0,97561.0,LaFlorida,JuanBJusto,2,1,53.0,60.0,1,13438395,Balance
43000000,1192.0,52439.0,Santiago,JuanMartínezdeRozas2454,1,1,37.0,32.0,0,11423079,Rosario
450987500,12500.0,549985.0,LasCondes,Huesca,3,3,95.0,269.0,2,17347548,Bao Propiedades
65000000,1802.0,79268.0,Santiago,AvenidaMapocho&Esperanza,2,1,70.0,70.0,0,18368269,Puquén Propiedades
311722560,8640.0,380149.0,SanBernardo,esmeralda,3,1,120.0,540.0,3,12918712,
822601200,22800.0,1003172.0,Peñalolén,Laspircas,4,4,437.0,761.0,3,18216599,
223689800,6200.0,272792.0,Quilicura,Sevendecasaaislada,3,3,136.0,189.0,0,14514370,
245000000,6791.0,298780.0,SanJoaquín,SanJoaquín,6,3,140.0,436.0,2,11688421,
90000000,2495.0,109756.0,Independencia,Independencia,2,1,85.0,100.0,0,18169111,
177000000,4906.0,215854.0,Pudahuel,RíoTrancura9741,3,2,83.0,119.0,2,18153899,Consejo Hpotecario ltda
91243791,2529.0,111273.0,SanBernardo,Novavida,3,2,60.0,100.0,3,13477952,Patricia Propiedades
974133000,27000.0,1187967.0,LaFlorida,Lientur,4,4,182.0,1600.0,5,3002413,Sp Rios Propiedades
253851844,7036.0,309575.0,Pudahuel,HermosaCasa.ElRodeo,3,3,108.0,226.0,2,13963142,Punto Exacto Corredora de Propiedades Ltda.
50510600,1400.0,61598.0,Colina,JoséDonoso,2,1,57.0,82.0,1,11262833,
158747600,4400.0,193595.0,Lampa,LaMontañaNte.3650,3,3,84.0,133.0,2,8722194,Behouse
119000000,3298.0,145122.0,PuenteAlto,VíctorPazEstenssoro,3,2,90.0,150.0,1,17922586,Carolina Martinez Propiedades
1046291000,29000.0,1275965.0,Providencia,SantaIsabel,5,4,200.0,825.0,4,17869698,Lorena Bavestrello
165638689,4591.0,201998.0,PuenteAlto,Sanmaximo,3,2,89.0,142.0,3,17862616,Bissac
595303500,16500.0,725980.0,LaReina,SantaRita/Simónbolivar,4,3,165.0,550.0,8,17715165,
279973040,7760.0,341431.0,Macul,MarioSilvaOssa3923,4,2,94.0,340.0,0,9558931,
130000000,3603.0,158537.0,PuenteAlto,Av.SanCarlos2051,3,3,70.0,110.0,2,16146539,Puquén Propiedades
180000000,4989.0,219512.0,Peñalolén,MarTirreno,2,1,63.0,150.0,1,17679495,Corredora Fuentes Propiedades
87311180,2420.0,106477.0,SanBernardo,PoemaAlmaMia1.144,3,1,50.0,87.0,0,17594962,
137352753,3807.0,167503.0,LaFlorida,Lupino,3,2,84.0,104.0,2,15303374,Bissac
98500000,2730.0,120122.0,PuenteAlto,NemesioVicuña,1,2,80.0,160.0,2,17514389,Corvalan & Asociados
167767350,4650.0,204594.0,PuenteAlto,Ciudaddelsol,5,3,134.0,149.0,1,15559905,Corvalan & Asociados
309197030,8570.0,377070.0,Pudahuel,CalleMalta,3,3,110.0,407.0,2,14881068,Promoción Inmobiliaria
245337200,6800.0,299192.0,Pudahuel,AvenidaElRodeoPoniente,4,3,108.0,235.0,3,17444730,Promoción Inmobiliaria
142115181,3939.0,173311.0,ElBosque,CapitánAvalos,4,3,242.0,349.0,1,15844066,
120000000,3326.0,146341.0,PuenteAlto,Barrantes1Sur,3,2,85.0,150.0,2,9532009,Carolina Martinez Propiedades
127500000,3534.0,155488.0,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1,69.0,200.0,2,8493024,Paula Vivanco Arenas
140000000,3880.0,170732.0,LaFlorida,ElLingue2181,3,2,68.0,145.0,3,17187955,Silvana Guillen Propiedades
314300000,8711.0,383293.0,LaReina,HospitalMilitar/Registrocivil,4,3,110.0,128.0,3,14748626,
273000000,7567.0,332927.0,Peñalolén,LosJardineros,4,2,250.0,500.0,4,7742050,Helena de Troya
75044320,2080.0,91517.0,QuintaNormal,SaraGajardo,4,1,87.0,150.0,1,16972506,
224000000,6209.0,273171.0,LaCisterna,Angamos8342,4,2,118.0,165.0,1,9316982,
100000000,2772.0,121951.0,Maipú,Lastresmarías,6,2,110.0,158.0,0,16909322,
559224500,15500.0,681981.0,LasCondes,SanCarlosdeApoquindo,4,3,160.0,252.0,2,16869513,V&o Propiedades
310000000,8592.0,378049.0,Pudahuel,CalleMalta,5,4,155.0,395.0,2,16841404,
432948000,12000.0,527985.0,LaFlorida,LasNalcasNorte8190,4,3,274.0,1260.0,6,16832861,
793738000,22000.0,967973.0,Santiago,Serrano,9,4,440.0,690.0,2,16622728,
159108390,4410.0,194035.0,EstaciónCentral,HernándelSolar169,3,2,98.0,150.0,2,15380779,Rsa Gestión Inmobiliaria
130000000,3603.0,158537.0,Pudahuel,Diag.deLosLagos7085,3,2,62.0,180.0,1,13484847,Mgh Solución Inmobiliaria
310279400,8600.0,378390.0,Colina,Sta.Elena278,3,3,118.0,350.0,3,9196861,Behouse
