Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
364441600,10240,453850,LasCondes,Av.Apoquindo/TomasMoro,4,2,86.0,193.0,0,8060545,Procasa Adrián Ulloa Propiedades
140000000,3934,174346,Maipú,4poniente/rinconada,2,2,51.0,100.0,1,11389408,Unne
1982363000,55700,2468696,LoBarnechea,Delcorregidor,6,6,617.0,2061.0,3,8050647,Easyprop
921781000,25900,1147922,LasCondes,PresidenteErrazuriz,4,3,247.0,310.0,1,7894957,Unne
266925000,7500,332410,Buin,GermanSandovalMiranda-NU-61560/LaCervera,3,3,105.0,128.0,0,10172442,Propiedades Centro Santiago SPA
170000000,4777,211706,PuenteAlto,Marianolatorre,5,1,90.0,403.0,1,7854331,Unne
256248000,7200,319113,LaFlorida,ReAntu9516,5,3,139.0,200.0,1,10740157,Arsen Propiedades
319954100,8990,398448,Ñuñoa,EduardoCastilloVelazcoconLosAliagas,4,2,130.0,170.0,2,9690712,Unne
68000000,1911,84682,Lampa,Lindacasaavenidaespañaconcalleunolampa,3,2,54.0,78.0,0,11388696,Movahome Corredores Integrados
80000000,2248,99626,Maipú,Casaborgoñocon4ponientemaipú,3,1,45.0,135.0,0,11388671,Movahome Corredores Integrados
115000000,3231,143213,PuenteAlto,Casadosnivelesvillacasadelhuertopuentealto,3,2,120.0,128.0,0,11388615,Movahome Corredores Integrados
120000000,3372,149440,Renca,Casadosnivelesavenidabrasilconlapuntarenca,2,1,100.0,150.0,0,11388569,Movahome Corredores Integrados
462670000,13000,576177,SanJoaquín,Juanbebastianbach(ag)/vivaldi,4,2,230.0,600.0,6,6853866,Propiedades Centro Santiago SPA
45000000,1264,56040,Colina,PresidenteArturoAlessandri117,2,1,42.0,110.0,0,10483222,
72000000,2023,89664,SanBernardo,CaminoPadreHurtadoYC60524/SanJorge,3,2,55.0,80.0,0,9057545,Propiedades Centro Santiago SPA
924984100,25990,1151910,Providencia,Rancagua/Salvador,8,4,460.0,771.0,4,8038308,Easyprop
85000000,2388,105853,SanJoaquín,AlcaldePedroAlarcon/PintorGoya/Otello,2,1,88.0,177.0,0,6766739,Propiedades Ricardo Vial y Cia. Ltda.
103744850,2915,129197,Maipú,Casaaisladaenexcelenteubicaciónenlacomunamaipu,2,1,65.0,120.0,0,11387862,Cortes Propiedades
105000000,2950,130760,SanBernardo,EsquinaRositaRenar,4,2,44.0,85.0,2,9474193,Unne
496480500,13950,618282,LoBarnechea,PieAndino/CaminoLaCumbre,5,4,140.0,276.0,0,8225576,Unne
56944000,1600,70914,SanBernardo,VillaEduardoAnguita,3,1,43.0,43.0,1,11387628,Urbalia
1743910000,49000,2171743,LasCondes,Av.CristóbalColon/FélixdeAmesti,6,5,350.0,1000.0,0,8592312,Sucursal El Bosque Sur
836365000,23500,1041550,Vitacura,AlmiranteAcevedo,3,2,109.0,346.0,2,7859730,Unne
80291040,2256,99989,Buin,VentaCasa4DormitoriosBuin,4,2,80.0,113.0,1,6544737,Invierte Propiedades
800775000,22500,997229,Colina,CondominioLaReserva/Chicureo,4,3,300.0,800.0,0,8256981,Propiedades Ricardo Vial y Cia. Ltda.
844906600,23740,1052188,Providencia,EsquinaLuisthayerOjeda/.,10,4,270.0,450.0,4,9937818,Mauricio Pino Propiedades
704682000,19800,877562,LaReina,Padrehurtado,5,4,260.0,860.0,0,9021834,Nativo Propiedades
601471000,16900,749030,LaReina,DragonesdelaReina/FranciscodeVillagra,10,4,390.0,1000.0,0,3949389,Jorge Pablo Caro Propiedades
889750000,25000,1108032,Santiago,CasonaEsmeraldaentreSanAntonioyMacIver,24,7,810.0,810.0,8,9652894,Unne
128000000,3597,159402,Maipú,VillajardindelsurIII,4,3,90.0,130.0,0,10153918,Unne
80000000,2248,99626,SanRamón,Metrosanramon/av.Goycolea,2,1,32.0,171.0,0,10176017,Jaime Moris Propiedades (Providencia)
85000000,2388,105853,Lampa,LaHaciendaconElMacal,3,1,74.0,171.0,1,11386431,Nexxos
83000000,2332,103362,Lampa,LosHalconesyManzanilla,4,1,84.0,98.0,2,11386415,Nexxos
242012000,6800,301385,Providencia,PlazaCamiloMori,2,3,153.0,193.0,0,11385745,Nexxos
53000000,1489,66002,PuenteAlto,Creta/Mahuidanche,3,1,50.0,63.0,0,10746968,Propiedades Centro Santiago SPA
67621000,1900,84210,PuenteAlto,LosPemones/MetroLasMercedes,2,1,62.0,62.0,1,8376545,Unne
177594100,4990,221163,EstaciónCentral,Aeropuertocon5deabril,4,3,143.0,263.0,2,7910795,Vivanco Propiedades
708276590,19901,882038,LasCondes,Colón,4,4,197.0,80.0,2,6680360,Unne
300000000,8429,373599,Santiago,AvenidaPortugal,6,2,500.0,500.0,0,11023057,Agente Inmobiliario
55000000,1545,68493,PuenteAlto,Elsauce,3,2,64.0,69.0,1,11385050,Nexxos
115000000,3231,143213,SanBernardo,Av.PortalesOriente.,3,2,70.0,122.0,2,11385020,Nexxos
100000000,2810,124533,SanBernardo,LaMaestranza,3,2,75.0,105.0,0,11384952,Nexxos
