Price_UF,Comuna,Dorms,Baths,Built Area,Total Area,Parking,Realtor,UF_m2,log_price,log_area
3187.0,SanRamón,3,1,110.0,230.0,2,Novavista,28.972727,8.066835,5.4380794
2490.0,Lampa,2,2,56.0,86.0,1,Cdprop,44.464287,7.820038,4.454347
4450.0,Maipú,2,3,93.0,145.0,2,Desconocido,47.84946,8.40066,4.9767337
3187.0,Maipú,3,1,76.0,120.0,2,Silvana Guillen Propiedades,41.93421,8.066835,4.787492
7700.0,LaCisterna,5,2,150.0,330.0,3,Rodrigo Cañas de la Cerda Propiedades,51.333332,8.948976,5.799093
9008.0,Buin,4,2,127.0,450.0,4,Desconocido,70.92913,9.105868,6.1092477
3900.0,SanBernardo,4,2,85.0,155.0,2,Rodrigo Cañas de la Cerda Propiedades,45.882355,8.268732,5.043425
1621.0,PuenteAlto,2,2,89.0,100.0,3,Propital,18.213484,7.3907986,4.6051702
3092.0,SanBernardo,3,2,63.0,107.0,2,Propiedades Abarca,49.079365,8.036573,4.6728287
4500.0,Lampa,3,3,80.0,156.0,2,Behouse,56.25,8.411833,5.049856
11000.0,Peñalolén,4,3,142.0,277.0,2,Propital,77.46479,9.305651,5.6240177
16069.0,Ñuñoa,6,2,157.0,408.0,6,Propital,102.35032,9.684648,6.011267
15500.0,Ñuñoa,4,3,200.0,648.0,4,Platoni y Bonet Propiedades,77.5,9.648595,6.473891
2079.0,Melipilla,3,1,43.0,198.0,2,Paula Vivanco Arenas,48.34884,7.6396422,5.288267
3964.0,Recoleta,4,2,160.0,300.0,2,Navacasa Propiedades,24.775,8.285009,5.7037826
6652.0,Santiago,5,3,190.0,250.0,1,Desconocido,35.010525,8.802673,5.521461
6950.0,Buin,3,3,112.0,240.0,2,Propiedades Abarca,62.05357,8.846497,5.480639
16000.0,Vitacura,3,2,140.0,310.0,2,Desconocido,114.28571,9.680344,5.7365723
2716.0,CerroNavia,2,1,88.0,120.0,1,Thaiz Alizo,30.863636,7.9069157,4.787492
4158.0,Maipú,3,2,80.0,160.0,2,Desconocido,51.975,8.332789,5.075174
3600.0,Buin,3,2,70.0,116.0,1,Desconocido,51.42857,8.188689,4.75359
5200.0,Colina,3,2,100.0,220.0,1,Desconocido,52.0,8.556414,5.3936276
1469.0,Maipú,2,1,64.0,62.0,1,Paula Vivanco Arenas,22.953125,7.2923374,4.1271343
4601.0,LaFlorida,3,3,101.0,176.0,2,Urbalia,45.554455,8.434029,5.170484
10670.0,Peñalolén,3,3,128.0,345.0,2,Nexxos,83.359375,9.275191,5.8435445
13500.0,LasCondes,5,4,200.0,336.0,2,Viel la Dehesa SPA,67.5,9.510445,5.817111
3548.0,Quilicura,6,2,77.0,120.0,2,Propital,46.077923,8.174139,4.787492
13027.0,LasCondes,3,2,130.0,306.0,2,Vivaqui Propiedades,100.207695,9.474779,5.723585
6098.0,Recoleta,3,1,120.0,120.0,2,RUKAM SPA,50.816666,8.715716,4.787492
8900.0,Lampa,4,2,140.0,140.0,2,RUKAM SPA,63.57143,9.093806,4.9416423
3600.0,Lampa,3,3,111.0,240.0,2,RUKAM SPA,32.432434,8.188689,5.480639
6000.0,Pudahuel,3,3,115.0,227.0,3,Desconocido,52.173912,8.699514,5.42495
4890.0,Huechuraba,2,2,86.0,86.0,1,RUKAM SPA,56.860466,8.494947,4.454347
10490.0,Colina,3,3,135.0,135.0,2,RUKAM SPA,77.703705,9.258178,4.905275
9500.0,Colina,3,3,130.0,380.0,2,RUKAM SPA,73.07692,9.159047,5.9401712
5033.0,Maipú,3,3,82.0,118.0,1,Desconocido,61.378048,8.523771,4.7706847
17700.0,LoBarnechea,3,2,140.0,334.0,2,Propiedades Viel SpA,126.42857,9.78132,5.811141
4800.0,Ñuñoa,3,1,120.0,195.0,2,Easyprop,40.0,8.476371,5.273
8869.0,LasCondes,6,3,184.0,287.0,2,Easyprop,48.201088,9.090318,5.659482
4300.0,Buin,4,3,93.0,185.0,1,Easyprop,46.23656,8.36637,5.220356
3465.0,EstaciónCentral,3,1,80.0,190.0,1,Desconocido,43.3125,8.150468,5.247024
7725.0,LaReina,3,3,93.0,93.0,1,Easyprop,83.064514,8.952217,4.5325994
3853.0,LaFlorida,4,3,100.0,175.0,2,Easyprop,38.53,8.256607,5.164786
4500.0,PuenteAlto,3,3,100.0,126.0,1,Nexxos,45.0,8.411833,4.836282
5500.0,SanBernardo,4,2,110.0,320.0,2,Unne,50.0,8.612503,5.768321
4430.0,EstaciónCentral,4,3,121.0,229.0,3,Nexxos,36.61157,8.396155,5.433722
4800.0,Lampa,4,3,140.0,170.0,2,Vivax,34.285713,8.476371,5.1357985
8314.0,Conchalí,7,2,240.0,602.0,4,Corredores Asociados,34.641666,9.025696,6.4002576
7990.0,LaFlorida,4,3,138.0,254.0,2,Nexxos,57.898552,8.985946,5.5373344
4500.0,Lampa,3,3,99.0,250.0,2,Cesar Galaz,45.454544,8.411833,5.521461
13500.0,LasCondes,5,4,170.0,336.0,3,ProUrbe Manquehue,79.411766,9.510445,5.817111
7600.0,Maipú,3,3,155.0,233.0,4,Easyprop,49.032257,8.935904,5.4510384
2633.0,Maipú,2,1,47.0,170.0,4,Easyprop,56.02128,7.8758793,5.1357985
4019.0,Renca,4,2,118.0,151.0,3,Easyprop,34.059322,8.298788,5.0172796
2079.0,Maipú,3,1,65.0,70.0,1,Easyprop,31.984615,7.6396422,4.248495
1996.0,PadreHurtado,3,1,43.0,203.0,2,Easyprop,46.418606,7.5989003,5.313206
14500.0,LasCondes,4,3,137.0,247.0,1,Easyprop,105.83942,9.581904,5.5093884
14700.0,LasCondes,4,3,168.0,373.0,3,Sucursal El Bosque Sur,87.5,9.595603,5.9215784
13470.0,LasCondes,3,3,160.0,400.0,2,GRUPO INOVO PRO,84.1875,9.508221,5.9914646
7550.0,Macul,3,2,117.0,293.0,2,Agente Propiedades,64.529915,8.929303,5.6801724
2100.0,PuenteAlto,3,1,55.0,90.0,2,Nexxos,38.18182,7.6496925,4.4998097
9900.0,Ñuñoa,11,5,263.0,287.0,2,Nexxos,37.642586,9.20029,5.659482
14860.0,Colina,3,3,140.0,770.0,2,Lavalsil Ltda.,106.14286,9.606428,6.6463904
3049.0,Maipú,4,2,108.0,108.0,1,Easyprop,28.231482,8.022569,4.6821313
5128.0,EstaciónCentral,3,1,200.0,240.0,1,Easyprop,25.64,8.542471,5.480639
13000.0,SanMiguel,4,3,200.0,836.0,5,GRUPO INOVO PRO,65.0,9.472705,6.7286286
13000.0,SanMiguel,4,3,220.0,836.0,3,GRUPO INOVO PRO,59.090908,9.472705,6.7286286
5400.0,Talagante,3,2,86.0,306.0,2,La Cumbre Propiedades,62.7907,8.594154,5.723585
8315.0,Ñuñoa,4,2,82.0,90.0,2,GRUPO INOVO PRO,101.402435,9.025816,4.4998097
14967.0,Providencia,6,4,203.0,270.0,2,Unne,73.729065,9.613603,5.598422
4296.0,PuenteAlto,3,3,89.0,160.0,1,Easyprop,48.269665,8.365439,5.075174
3742.0,SanBernardo,5,3,135.0,128.0,2,Mi Llave,27.71852,8.227376,4.8520303
3624.0,LoPrado,3,1,87.0,180.0,1,Desconocido,41.655174,8.1953335,5.192957
2273.0,Buin,3,1,78.0,110.0,1,Movahome Corredores Integrados,29.141026,7.7288556,4.7004805
